lon	lat
70.2997750940465	-58.8144228092341
69.8161051325238	-58.8757548936365
69.411428085351	-59.0272446291296
68.9724621301804	-59.0178645770675
68.7422756722532	-59.1256789070565
68.3021058111609	-59.1136483181744
67.9391005327917	-59.1932586163404
67.2407295374798	-59.1228887076633
66.7464055549164	-59.1707997842143
66.1790516947927	-59.122016831986
65.9380886025069	-59.2239635049571
65.4982057686948	-59.2008658316826
65.1270016620796	-59.2712731447299
64.6871161981259	-59.2449793161736
64.4400348281762	-59.3437195903476
63.8737481832021	-59.2832018391636
63.3721933392405	-59.3161220481274
62.8087903693868	-59.2502359409559
62.5554774259112	-59.344774859713
61.8698797373297	-59.2410375493772
61.2443749588838	-59.2305291101735
60.3241081694312	-59.0481882721504
59.8236827346252	-59.0651467555914
59.2741813838034	-58.9816789189388
59.0123801708835	-59.0679307455459
58.5836043147107	-59.0178645770675
58.2010871757056	-59.0647987778586
57.6564624095787	-58.9733555407698
57.1978687464635	-59.0773289187674
56.6960167887651	-59.0802012623601
56.348724465055	-59.2200249422385
55.9228047198693	-59.1597086435422
55.45541471881	-59.2565453030198
54.8361617053875	-59.2103123858038
54.28260977352	-59.3608730729656
53.7763735856256	-59.3505796135457
53.4123452904268	-59.4812684724655
52.9893267663969	-59.4097571270929
52.5946433685914	-59.4372787027869
52.1743242364823	-59.3627210522397
51.8031333335031	-59.4881652595043
51.4063786007738	-59.5115219767968
51.0300088082815	-59.6344946920903
50.6110522725441	-59.5540432368001
50.2125547469002	-59.573200812252
49.6891563917052	-59.4433691821355
49.2916391537779	-59.4592641807288
48.8802056677049	-59.3724911449997
48.5887629603801	-59.4330426978412
48.2846763681199	-59.3915138447458
47.8973143049666	-59.5038225306174
47.4982314707836	-59.5133808096444
47.1062510078207	-59.6230242544231
46.6993762965253	-59.5282563181118
46.2996812838977	-59.5335710889537
45.8967302800581	-59.4359548763177
45.5988887754712	-59.4886958582567
45.2989317894025	-59.439132174296
45	-59.4902877202529
44.7010682105975	-59.439132174296
44.3000863762891	-59.5388869603348
43.8023532853916	-59.4839208638356
43.3006237034747	-59.5282563181118
42.9083881135434	-59.4200742691694
42.605752233508	-59.4648297521441
42.3115642473215	-59.4073768352943
42.008169254031	-59.450520715844
41.7153236318801	-59.3915138447458
41.4112370396199	-59.4330426978412
41.0275040592493	-59.3184060738198
40.6317225654116	-59.3036513209813
40.2527660349173	-59.1864402560461
39.9488550186739	-59.2239635049571
39.6626000115573	-59.1597086435422
39.3582364941563	-59.1956192368222
39.0735676182147	-59.1298647697946
38.7688183575516	-59.1641619950578
38.4857897170003	-59.0969193948402
38.1807213015442	-59.1296031335534
37.8993856000117	-59.0608843500305
37.5940643654035	-59.0919550738212
37.3144728516184	-59.0217725202048
36.8977516929998	-59.0943064757816
36.5081515377522	-59.0650597607205
36.0888935255772	-59.1345746741694
35.7313529287234	-59.0024990383307
35.2309408490259	-59.010571323346
34.7651972365768	-58.9167233355336
34.2294873064869	-59.0199487402003
