Event	Depth sed [m]	A. curvatulus [%]	A. actinochilus [%]	A. hookeri [%]	A. hyalinus [%]	A. parvulus [%]	A. tabularis var. egregius [%]	A. tabularis [%]	A_tabularis_tot	Chaetoceros spp. veg [%]	Chaetoceros spp. rs [%]	Coscinodiscus spp. [%]	E. antarctica rs [%]	Fragilariopsis spp. [%]	F. kerguelensis [%]	F. obliquecostata [%]	F. sublinearis	F_obli_tot	F. ritscheri [%]	F. curta [%]	F. rhombica [%]	F. separanda [%]	F. pseudonana [%]	F. cylindrus [%]	H. cuneiformis [%]	Navicula spp. [%]	N. directa [%]	N. bicapitata [%]	N. sicula var. bicuneata [%]	N. sicula var. rostrata [%]	N_sicula_tot	O. weissflogii [%]	P-n heimii	P-n lineola-turgiduloides gr [%]	R. antennata f semispina [%]	R. bergonii [%]	Rhizosolenia sp. [%] (sp. A)	R. antennata [%]	R_antennata_tot	R. tesselata [%]	S. microtrias [%]	T. nitzschioides [%] (Form 1)	T. nitzschioides var. capitulata [%]	T. nitzschioides var. lanceolata [%]	T_nitzschioides_tot	T. antarctica [%]	T. gracilis var. expecta [%]	T. gracilis [%]	T. gravida [%]	T. lentiginosa [%]	T. oestrupii [%]	T. oliverana [%]	T. trifulta [%]	T. frenguelliopsis [%]	T. tumida [%]	Thalassiosira spp. [%]	P. pseudodenticulata [%]	P. directum [%]	T. antarctica [%]	T. reinboldii [%]	Delphineis spp. [%] (Species questionable)		Unid
PS58/274-1	3.35	0	0.86	0	0	0	0	3.44	3.44	0	2.15	0	10.32	0	60.43	0	0	0	0	0.65	0.22	1.94	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0.22	0.44	0	0	0	0	0		0	0	0.86	0.43	15.05	0	0.22	0.86	0	0	0.22	0	0	1.94	0	0		0
PS58/274-1	3.45	0	1.34	0	0	0.22	0.45	0.45	0.9	0	2.68	0	8.48	0	63.84	0.22	0	0.22	0.22	0.67	0	2.23	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0.22	0	0	0	0	0		0	0	2.23	0	13.62	0	0.45	0.45	0	0	0.22	0.22	0.22	1.56	0	0		0
PS58/274-1	3.55	0.18	0.37	0	0	0.18	0.37	2.77	3.14	0	3.88	0	4.81	0.37	66.36	0	0	0	0	0.37	0.74	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0.37	0	0.18	0	0.37	0	0	0	0	0		0	0	1.29	0.18	11.83	0	0.74	0.74	0	0	0.18	0	0	1.66	0	0		0
PS58/274-1	3.65	0	0.63	0	0	0.63	0	2.52	2.52	0	3.3	0.47	6.45	0	66.04	0	0	0	0.16	0.16	0.31	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0	0.31	0	0	0	0	0.16		0	0.16	2.99	0	10.85	0	0.79	0.31	0	0	0.16	0	0	1.42	0	0		0
PS58/274-1	3.75	0.2	0.78	0	0	0.39	0	3.32	3.32	0	4.1	0.59	6.84	0	58.2	0	0	0	0.2	0.39	0.2	0.98	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0.2	0	0.2	0	0	0	0	0		0	0	0.98	0.59	17.77	0.2	1.17	0.59	0	0.2	0	0	0	1.95	0	0		0
PS58/274-1	3.85	0	0.9	0	0	0.18	0	1.26	1.26	0	3.25	0.36	6.5	0.18	60.29	0	0	0	0.36	0.54	0	3.25	0	0	0.18	0.18	0	0	0	0	0	0	0	0	0.54	0	0	0	0.54	0	0	0	0	0		0	0	1.08	0.36	16.79	0	0.9	0.54	0	0	0.18	0	0	1.99	0	0.18		0.18
PS58/274-1	3.95	0	0.37	0	0	0	0.19	1.68	1.87	0	3.92	0.19	3.54	0	67.72	0	0.1865672	0.1865672	0.56	0.93	0	3.73	0	0.19	0	0	0	0	0.19	0	0.19	0	0	0	0.37	0	0	0	0.37	0	0	0	0	0		0	0.19	1.49	0.56	11.19	0	0.37	0.19	0	0	0.19	0	0	1.87	0	0.19		0.19
PS58/274-1	4.05	0	0.9	0.18	0.18	0.54	0	2.34	2.34	0	3.78	0.18	6.29	0	63.31	0	0	0	0.36	0.18	0	2.88	0	0.18	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0.18	0	0.18	0	0	0		0	0	1.08	0.18	13.67	0	0.54	0.36	0	0	0.18	0.18	0.18	1.98	0	0		0
PS58/274-1	4.15	0.15	1.04	0	0	0.15	0.3	0.89	1.19	0	3.12	0	4.75	0	64.78	0	0	0	0.15	0.59	0.15	2.67	0	0.15	0	0	0	0	0.15	0	0.15	0	0	0	0.45	0	0	0	0.45	0	0	0	0	0		0	0	1.78	0.45	14.71	0	1.34	0.3	0	0	0.3	0	0	1.34	0	0.3		0.3
PS58/274-1	4.25	0.15	1.05	0	0	0.15	0	1.36	1.36	0	3.31	0.3	7.08	0	62.8	0	0	0	0.15	0.6	0	3.31	0	0	0	0.15	0	0	0.15	0	0.15	0	0.1506024	0	0.75	0	0	0.15	0.9	0	0	0	0	0		0	0	0.75	0.45	13.55	0.15	1.2	0.15	0	0.15	0.15	0	0	1.66	0	0.15		0.15
